group,North Surrey,Guildford,South Surrey,Newton,Cloverdale,Fleetwood
No certificate,13,11,4,16,8,12
High School Diploma,26,27,23,32,32,29
Trader Certificate,8,8,7,6,9,7
College,26,25,27,34,21,24
University,27,29,39,25,23,28
