group,North Surrey,Guildford,South Surrey,Newton,Cloverdale,Fleetwood
0-19,17,24,22,26,25,25
20-34,29,20,13,22,20,19
35-64,41,43,42,39,34,42
65+,13,13,23,13,12,14

