group,North Surrey,Guildford,South Surrey,Newton,Cloverdale,Fleetwood
30K,28,18,14,14,10,13
30K-59K,31,24,20,23,19,21
60K-99K,27,25,24,28,26,25
100K-149K,11,19,19,21,25,23
150K,3,14,23,14,20,18
