group,North Surrey,Guildford,South Surrey,Newton,Cloverdale,Fleetwood
Caucasian,43,39,72,25,69,33
Chinese,11,16,15,3,3,10
South Asian,14,12,6,58,14,32
Filipino,11,11,0,5,4,9
Other,21,22,0,5,10,16
